Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
39	5	combined	Drop	0	0	0	0
39	6	combined	Drop	0	0	0	0
39	7	combined	Drop	0	0	0	0
39.5	0	combined	Drop	0	0	0	0
39.5	1	combined	Drop	0	0	0	0
39.5	2	combined	Drop	0	0	0	0
39.5	3	combined	Drop	0	0	0	0
39.5	4	combined	Drop	0	0	0	0
39.5	5	combined	Drop	0	0	0	0
39.5	6	combined	Drop	0	0	0	0
39.5	7	combined	Drop	0	0	0	0
40	0	combined	Drop	0	0	0	0
40	1	combined	Drop	0	0	0	0
40	2	combined	Drop	0	0	0	0
40	3	combined	Drop	0	0	0	0
40	4	combined	Drop	0	0	0	0
40	5	combined	Drop	0	0	0	0
40	6	combined	Drop	0	0	0	0
40	7	combined	Drop	0	0	0	0
40.5	0	combined	Drop	0	0	0	0
40.5	1	combined	Drop	0	0	0	0
40.5	2	combined	Drop	0	0	0	0
40.5	3	combined	Drop	0	0	0	0
40.5	4	combined	Drop	0	0	0	0
40.5	5	combined	Drop	0	0	0	0
40.5	6	combined	Drop	0	0	0	0
40.5	7	combined	Drop	0	0	0	0
41	0	combined	Drop	0	0	0	0
41	1	combined	Drop	0	0	0	0
41	2	combined	Drop	0	0	0	0
41	3	combined	Drop	0	0	0	0
41	4	combined	Drop	0	0	0	0
41	5	combined	Drop	0	0	0	0
41	6	combined	Drop	0	0	0	0
41	7	combined	Drop	0	0	0	0
41.5	0	combined	Drop	0	0	0	0
41.5	1	combined	Drop	0	0	0	0
41.5	2	combined	Drop	0	0	0	0
41.5	3	combined	Drop	0	0	0	0
41.5	4	combined	Drop	0	0	0	0
41.5	5	combined	Drop	0	0	0	0
41.5	6	combined	Drop	0	0	0	0
41.5	7	combined	Drop	0	0	0	0
42	0	combined	Drop	0	0	0	0
42	1	combined	Drop	0	0	0	0
42	2	combined	Drop	0	0	0	0
42	3	combined	Drop	0	0	0	0
42	4	combined	Drop	0	0	0	0
42	5	combined	Drop	0	0	0	0
42	6	combined	Drop	0	0	0	0
42	7	combined	Drop	0	0	0	0
42.5	0	combined	Drop	0	0	0	0
42.5	1	combined	Drop	0	0	0	0
42.5	2	combined	Drop	0	0	0	0
42.5	3	combined	Drop	0	0	0	0
42.5	4	combined	Drop	0	0	0	0
42.5	5	combined	Drop	0	0	0	0
42.5	6	combined	Drop	0	0	0	0
42.5	7	combined	Drop	0	0	0	0
43	0	combined	Drop	0	0	0	0
43	1	combined	Drop	0	0	0	0
43	2	combined	Drop	0	0	0	0
43	3	combined	Drop	0	0	0	0
43	4	combined	Drop	0	0	0	0
43	5	combined	Drop	0	0	0	0
43	6	combined	Drop	0	0	0	0
43	7	combined	Drop	0	0	0	0
43.5	0	combined	Drop	0	0	0	0
43.5	1	combined	Drop	0	0	0	0
43.5	2	combined	Drop	0	0	0	0
