Time	Node	Type	Packets	
52	0	CacheMisses	146
52	1	CacheHits	91
52	1	CacheMisses	0
52	2	CacheHits	0
52	2	CacheMisses	0
52	3	CacheHits	0
52	3	CacheMisses	89
52	4	CacheHits	0
52	4	CacheMisses	0
53	0	CacheHits	0
53	0	CacheMisses	147
53	1	CacheHits	151
53	1	CacheMisses	0
53	2	CacheHits	0
53	2	CacheMisses	0
53	3	CacheHits	0
53	3	CacheMisses	153
53	4	CacheHits	0
53	4	CacheMisses	0
54	0	CacheHits	0
54	0	CacheMisses	146
54	1	CacheHits	144
54	1	CacheMisses	0
54	2	CacheHits	0
54	2	CacheMisses	0
54	3	CacheHits	0
54	3	CacheMisses	142
54	4	CacheHits	0
54	4	CacheMisses	0
55	0	CacheHits	0
55	0	CacheMisses	147
55	1	CacheHits	131
55	1	CacheMisses	0
55	2	CacheHits	0
55	2	CacheMisses	0
55	3	CacheHits	0
55	3	CacheMisses	131
55	4	CacheHits	0
55	4	CacheMisses	0
56	0	CacheHits	0
56	0	CacheMisses	146
56	1	CacheHits	140
56	1	CacheMisses	0
56	2	CacheHits	0
56	2	CacheMisses	0
56	3	CacheHits	0
56	3	CacheMisses	140
56	4	CacheHits	0
56	4	CacheMisses	0
57	0	CacheHits	0
57	0	CacheMisses	147
57	1	CacheHits	141
57	1	CacheMisses	0
57	2	CacheHits	0
57	2	CacheMisses	0
57	3	CacheHits	0
57	3	CacheMisses	142
57	4	CacheHits	0
57	4	CacheMisses	0
58	0	CacheHits	0
58	0	CacheMisses	146
58	1	CacheHits	121
58	1	CacheMisses	0
58	2	CacheHits	0
58	2	CacheMisses	0
58	3	CacheHits	0
58	3	CacheMisses	121
58	4	CacheHits	0
58	4	CacheMisses	0
59	0	CacheHits	0
59	0	CacheMisses	147
59	1	CacheHits	116
59	1	CacheMisses	33
59	2	CacheHits	0
59	2	CacheMisses	33
59	3	CacheHits	0
59	3	CacheMisses	148
59	4	CacheHits	0
59	4	CacheMisses	33
60	0	CacheHits	0
60	0	CacheMisses	146
60	1	CacheHits	118
60	1	CacheMisses	12
60	2	CacheHits	0
60	2	CacheMisses	12
60	3	CacheHits	0
60	3	CacheMisses	131
60	4	CacheHits	0
60	4	CacheMisses	12
61	0	CacheHits	0
61	0	CacheMisses	147
61	1	CacheHits	72
61	1	CacheMisses	44
61	2	CacheHits	0
61	2	CacheMisses	43
61	3	CacheHits	0
61	3	CacheMisses	115
61	4	CacheHits	0
61	4	CacheMisses	43
62	0	CacheHits	0
62	0	CacheMisses	146
62	1	CacheHits	101
62	1	CacheMisses	26
62	2	CacheHits	0
62	2	CacheMisses	27
62	3	CacheHits	0
62	3	CacheMisses	131
62	4	CacheHits	0
62	4	CacheMisses	27
63	0	CacheHits	0
63	0	CacheMisses	147
63	1	CacheHits	97
63	1	CacheMisses	38
63	2	CacheHits	0
63	2	CacheMisses	38
63	3	CacheHits	0
63	3	CacheMisses	131
63	4	CacheHits	0
63	4	CacheMisses	38
64	0	CacheHits	0
64	0	CacheMisses	146
64	1	CacheHits	98
64	1	CacheMisses	34
64	2	CacheHits	0
64	2	CacheMisses	34
64	3	CacheHits	0
64	3	CacheMisses	132
64	4	CacheHits	0
64	4	CacheMisses	34
65	0	CacheHits	0
65	0	CacheMisses	147
65	1	CacheHits	129
65	1	CacheMisses	17
65	2	CacheHits	0
65	2	CacheMisses	17
65	3	CacheHits	0
65	3	CacheMisses	146
65	4	CacheHits	0
65	4	CacheMisses	17
66	0	CacheHits	0
66	0	CacheMisses	146
66	1	CacheHits	101
66	1	CacheMisses	14
66	2	CacheHits	0
66	2	CacheMisses	14
66	3	CacheHits	0
66	3	CacheMisses	116
66	4	CacheHits	0
66	4	CacheMisses	14
67	0	CacheHits	0
67	0	CacheMisses	146
67	1	CacheHits	100
67	1	CacheMisses	29
67	2	CacheHits	0
67	2	CacheMisses	29
67	3	CacheHits	0
67	3	CacheMisses	128
67	4	CacheHits	0
67	4	CacheMisses	29
68	0	CacheHits	0
68	0	CacheMisses	147
68	1	CacheHits	91
68	1	CacheMisses	40
68	2	CacheHits	0
68	2	CacheMisses	40
68	3	CacheHits	0
68	3	CacheMisses	132
68	4	CacheHits	0
68	4	CacheMisses	40
69	0	CacheHits	0
69	0	CacheMisses	146
69	1	CacheHits	124
69	1	CacheMisses	28
69	2	CacheHits	0
69	2	CacheMisses	28
69	3	CacheHits	0
69	3	CacheMisses	151
69	4	CacheHits	0
69	4	CacheMisses	28
70	0	CacheHits	0
70	0	CacheMisses	147
70	1	CacheHits	104
70	1	CacheMisses	31
70	2	CacheHits	0
70	2	CacheMisses	31
70	3	CacheHits	0
70	3	CacheMisses	136
70	4	CacheHits	0
70	4	CacheMisses	31
71	0	CacheHits	0
71	0	CacheMisses	146
71	1	CacheHits	95
71	1	CacheMisses	40
71	2	CacheHits	0
71	2	CacheMisses	40
71	3	CacheHits	0
71	3	CacheMisses	134
